having_IP_Address,URL_Length,Shortining_Service,having_At_Symbol,double_slash_redirecting,Prefix_Suffix,having_Sub_Domain,SSLfinal_State,Domain_registeration_length,Favicon,port,HTTPS_token,Request_URL,URL_of_Anchor,Links_in_tags,SFH,Submitting_to_email,Abnormal_URL,Redirect,on_mouseover,RightClick,popUpWidnow,Iframe,age_of_domain,DNSRecord,web_traffic,Page_Rank,Google_Index,Links_pointing_to_page,Statistical_report,Result,_nsyn_controllable_columns,_nsyn_noisy_injected
1,-1,1,1,1,-1,0,1,-1,-1,-1,1,1,0,0,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,1,-1,1,-1,1,"['having_IP_Address', 'double_slash_redirecting', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow']",False
1,-1,1,1,1,-1,1,1,-1,1,1,-1,1,1,1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,1,1,1,1,-1,0,-1,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,-1,-1,1,1,1,-1,-1,0,-1,-1,1,0,1,0,1,1,-1,-1,-1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow']",True
1,-1,1,1,1,-1,1,1,-1,1,1,1,-1,1,0,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,0,1,-1,-1,1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,0,-1,-1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,1,1,1,-1,1,1,-1,1,1,0,-1,1,1,1,1,1,1,1,1,-1,1,-1,1,0,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,1,-1,1,-1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,-1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'Domain_registeration_length', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,1,-1,-1,1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,-1,1,1,-1,-1,1,1,1,0,0,1,1,1,0,1,-1,-1,1,1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'Abnormal_URL', 'Redirect', 'RightClick', 'popUpWidnow']",True
1,-1,1,1,1,-1,0,0,-1,-1,-1,1,-1,-1,-1,-1,-1,1,0,-1,-1,-1,-1,1,-1,1,-1,1,1,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow', 'Result']",False
1,-1,1,1,1,-1,-1,1,-1,-1,1,1,1,0,0,0,1,1,0,1,1,-1,1,1,-1,1,1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'RightClick', 'popUpWidnow']",True
0,-1,1,1,1,1,-1,1,-1,1,1,1,1,1,1,-1,1,1,0,1,1,1,1,1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,1,0,1,1,-1,1,-1,1,0,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,1,0,0,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'having_Sub_Domain', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,-1,1,-1,1,0,1,1,"['having_IP_Address', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,-1,-1,1,-1,1,1,1,1,-1,-1,1,1,1,0,1,1,1,1,-1,-1,0,-1,-1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,1,1,1,1,1,1,-1,-1,-1,-1,0,1,0,1,1,1,1,-1,-1,0,-1,-1,1,-1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Submitting_to_email', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,1,-1,-1,-1,1,1,0,0,0,-1,1,0,-1,1,-1,-1,1,-1,1,-1,1,1,-1,1,"['having_IP_Address', 'double_slash_redirecting', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow']",True
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,0,1,-1,1,0,0,1,1,1,1,1,-1,1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,1,1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,1,0,1,-1,-1,-1,1,-1,1,1,-1,-1,1,0,-1,1,-1,-1,-1,-1,1,-1,1,1,-1,1,"['having_IP_Address', 'double_slash_redirecting', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow']",False
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,-1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,0,1,-1,1,1,1,1,0,1,-1,1,1,1,1,1,1,1,-1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,0,-1,1,1,0,0,1,1,1,-1,-1,0,-1,-1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,1,-1,1,1,1,-1,0,0,-1,1,1,0,1,-1,1,1,-1,-1,1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,0,0,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,-1,1,-1,0,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'having_Sub_Domain', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,1,-1,1,-1,1,1,1,1,1,-1,1,-1,-1,0,1,1,1,1,1,-1,1,-1,-1,1,-1,1,"['having_IP_Address', 'Domain_registeration_length', 'Redirect', 'RightClick', 'popUpWidnow', 'Result']",False
1,-1,1,1,1,-1,-1,1,1,0,-1,1,-1,0,-1,-1,-1,1,0,-1,1,-1,-1,-1,-1,0,-1,1,0,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow']",True
1,1,1,1,1,-1,-1,0,-1,1,1,1,1,-1,0,1,1,1,0,1,1,1,1,1,-1,1,-1,-1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'having_Sub_Domain', 'Domain_registeration_length', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'Result']",True
1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,0,-1,-1,1,1,0,1,1,1,1,1,-1,1,-1,-1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,1,-1,1,-1,1,1,1,1,0,-1,-1,1,1,0,1,1,1,-1,1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,1,1,-1,1,1,1,1,0,1,-1,1,1,0,1,1,1,1,1,-1,0,-1,1,1,1,1,"['having_IP_Address', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,1,-1,1,1,1,1,-1,-1,0,-1,1,1,0,1,0,1,1,1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,-1,-1,-1,1,1,1,1,-1,-1,0,-1,1,1,0,0,1,1,1,-1,-1,-1,-1,-1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,-1,1,1,1,1,1,-1,-1,1,1,1,-1,-1,-1,-1,1,-1,0,1,1,1,1,-1,-1,0,-1,-1,1,1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'SFH', 'Submitting_to_email', 'Abnormal_URL', 'Redirect', 'RightClick', 'popUpWidnow', 'Iframe']",True
1,1,1,1,1,-1,1,1,-1,-1,-1,1,1,0,1,1,-1,1,0,-1,-1,-1,-1,1,-1,0,-1,1,1,-1,1,"['having_IP_Address', 'double_slash_redirecting', 'Domain_registeration_length', 'Favicon', 'Redirect', 'popUpWidnow']",False
1,-1,1,1,1,1,-1,-1,1,-1,1,1,-1,-1,1,-1,1,1,0,-1,1,-1,1,-1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'RightClick', 'popUpWidnow']",True
-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,1,1,-1,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,1,-1,1,-1,-1,-1,"['having_IP_Address', 'Prefix_Suffix', 'Domain_registeration_length', 'Favicon', 'on_mouseover', 'RightClick', 'popUpWidnow']",True
1,-1,1,1,1,-1,-1,-1,1,1,1,-1,-1,-1,-1,-1,1,1,0,1,1,1,1,1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
-1,-1,1,1,1,1,1,1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,1,-1,1,1,1,1,"['having_IP_Address', 'Request_URL', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe', 'Google_Index']",False
1,-1,1,1,1,-1,0,0,1,-1,-1,1,-1,-1,0,-1,-1,1,0,-1,1,-1,-1,1,-1,0,-1,1,0,-1,-1,"['having_IP_Address', 'double_slash_redirecting', 'Prefix_Suffix', 'having_Sub_Domain', 'Favicon', 'SFH', 'Redirect', 'popUpWidnow', 'Result']",False
1,-1,1,1,1,-1,-1,-1,-1,1,1,1,1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,0,-1,1,1,1,1,-1,-1,-1,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,1,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",False
1,-1,1,1,1,-1,0,-1,1,1,1,-1,-1,-1,-1,-1,-1,-1,0,1,1,1,1,1,-1,0,-1,1,-1,-1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Redirect', 'RightClick', 'popUpWidnow']",False
1,-1,1,1,1,1,-1,-1,-1,1,1,1,-1,-1,0,-1,1,1,0,1,1,1,1,-1,-1,-1,-1,1,0,1,-1,"['having_IP_Address', 'Prefix_Suffix', 'SFH', 'Abnormal_URL', 'Redirect', 'on_mouseover', 'RightClick', 'popUpWidnow', 'Iframe']",True
