V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,Class
42,management,married,tertiary,no,1773.0,no,no,cellular,9,apr,311.0,1,336.0,1.0,failure,1
48,blue-collar,divorced,secondary,no,65.0,yes,no,cellular,14,may,146.0,1,370.0,1.0,failure,1
30,management,single,tertiary,no,640.0,no,no,cellular,6,feb,124.0,4,213.0,2.0,failure,1
30,management,single,tertiary,no,536.0,no,no,cellular,15,oct,244.0,1,105.0,1.0,success,2
56,retired,married,secondary,no,728.0,no,no,cellular,18,nov,163.0,2,110.0,15.0,failure,1
56,technician,married,secondary,no,589.0,yes,no,cellular,18,nov,208.0,1,26.0,3.0,success,1
34,blue-collar,married,primary,no,1309.0,yes,no,cellular,12,may,456.0,2,364.0,1.0,failure,1
32,management,single,secondary,no,453.0,yes,no,cellular,2,feb,544.0,1,269.0,2.0,failure,1
37,admin.,single,secondary,no,-17.0,yes,no,cellular,11,may,400.0,2,340.0,2.0,failure,1
30,services,married,secondary,no,249.0,yes,no,cellular,17,apr,294.0,1,275.0,2.0,failure,1
45,management,married,tertiary,no,3857.0,yes,no,cellular,11,aug,425.0,2,190.0,1.0,failure,1
28,blue-collar,single,tertiary,no,1984.0,yes,no,cellular,4,may,32.0,2,14.0,1.0,failure,1
34,technician,married,secondary,no,256.0,yes,no,cellular,12,aug,201.0,2,267.0,1.0,failure,1
24,student,single,secondary,no,431.0,no,no,cellular,19,aug,418.0,11,185.0,5.0,success,2
53,entrepreneur,married,secondary,no,230.0,yes,no,cellular,4,feb,56.0,2,250.0,1.0,other,1
35,entrepreneur,married,tertiary,no,7962.0,yes,no,cellular,9,apr,275.0,2,140.0,2.0,failure,1
36,self-employed,married,secondary,no,1245.0,yes,no,cellular,9,feb,8.0,7,248.0,9.0,success,1
49,technician,single,secondary,no,9131.0,yes,no,cellular,18,aug,532.0,1,461.0,5.0,failure,2
57,technician,divorced,primary,no,13.0,yes,no,cellular,8,may,323.0,2,368.0,2.0,failure,1
30,student,single,unknown,no,145.0,no,no,cellular,5,feb,96.0,3,175.0,1.0,failure,1
36,management,married,tertiary,no,82.0,no,no,cellular,2,feb,124.0,1,178.0,4.0,success,1
56,technician,divorced,secondary,no,3450.0,no,no,cellular,10,aug,507.0,1,181.0,2.0,success,2
