V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,target
1572.0,1610.0,337559.0,337645.0,1570.0,176.0,128.0,128770.0,29,111,1692.0,0,1,300.0,0.0969,0.5196,0.4419,0.0225,0.2159,0.6719,1.0,3.1959,1.5798,1.9345,0.5581,-0.3592,1.0,Other_Faults
386.0,394.0,1304617.0,1304626.0,51.0,10.0,9.0,5795.0,100,133,1624.0,1,0,70.0,0.4754,0.2917,0.8889,0.0049,0.8,1.0,1.0,1.7076,0.9031,0.9542,0.1111,-0.1123,0.1773,Bumps
227.0,256.0,1593586.0,1593597.0,126.0,51.0,36.0,15951.0,112,148,1368.0,1,0,80.0,0.3319,0.605,0.3793,0.0212,0.5686,0.3056,0.0,2.1004,1.4624,1.0414,-0.6207,-0.011,0.5279,Bumps
1677.0,1688.0,2086458.0,2086470.0,81.0,14.0,12.0,4712.0,14,87,1692.0,1,0,70.0,0.0047,0.3864,0.9167,0.0065,0.7857,1.0,1.0,1.9085,1.0414,1.0792,0.0833,-0.5455,0.2432,Other_Faults
955.0,960.0,1260440.0,1260444.0,17.0,6.0,4.0,2246.0,120,149,1360.0,0,1,50.0,0.5882,0.15,0.8,0.0037,0.8333,1.0,0.0,1.2305,0.699,0.6021,-0.2,0.0322,0.1322,Stains
41.0,183.0,199980.0,200030.0,4214.0,210.0,116.0,445047.0,42,126,1360.0,0,1,40.0,0.0603,0.4065,0.3521,0.1044,0.6762,0.431,0.0,3.6247,2.1523,1.699,-0.6479,-0.1749,1.0,K_Scratch
1683.0,1690.0,1318359.0,1318378.0,98.0,12.0,19.0,5702.0,40,84,1692.0,1,0,70.0,0.0024,0.2632,0.3684,0.0041,0.5833,1.0,1.0,1.9912,0.8451,1.2787,0.6316,-0.5454,0.2445,Other_Faults
9.0,18.0,143523.0,143544.0,125.0,14.0,21.0,13987.0,97,141,1687.0,0,1,200.0,0.0107,0.3386,0.4286,0.0053,0.6429,1.0,1.0,2.0969,0.9542,1.3222,0.5714,-0.1258,0.3197,Other_Faults
39.0,214.0,1050670.0,1050830.0,13033.0,731.0,420.0,1508093.0,29,141,1398.0,0,1,40.0,0.0558,0.5345,0.9143,0.1252,0.2394,0.381,0.0,4.115,2.243,2.2041,-0.0857,-0.096,1.0,K_Scratch
753.0,820.0,141196.0,141297.0,2243.0,241.0,195.0,297086.0,122,142,1627.0,0,1,40.0,0.9256,0.6685,0.6634,0.0412,0.278,0.5179,1.0,3.3508,1.8261,2.0043,0.3366,0.0348,1.0,Other_Faults
41.0,214.0,2896951.0,2897015.0,6509.0,274.0,139.0,682403.0,41,126,1358.0,0,1,40.0,0.0604,0.4121,0.3699,0.1274,0.6314,0.4604,0.0,3.8135,2.238,1.8062,-0.6301,-0.1809,1.0,K_Scratch
39.0,200.0,718174.0,718237.0,6181.0,209.0,117.0,638448.0,44,127,1356.0,0,1,40.0,0.0575,0.3906,0.3913,0.1187,0.7703,0.5385,0.0,3.7911,2.2068,1.7993,-0.6087,-0.193,1.0,K_Scratch
1591.0,1608.0,4345277.0,4345283.0,77.0,18.0,11.0,9329.0,112,134,1650.0,1,0,69.0,0.0509,0.2451,0.3529,0.0103,0.9444,0.5454,0.0,1.8865,1.2305,0.7782,-0.6471,-0.0535,0.2083,Other_Faults
47.0,182.0,270999.0,271050.0,3786.0,196.0,102.0,391378.0,40,126,1362.0,0,1,40.0,0.069,0.4501,0.3778,0.0991,0.6888,0.5,0.0,3.5782,2.1303,1.7076,-0.6222,-0.1924,1.0,K_Scratch
1272.0,1285.0,1954485.0,1954498.0,120.0,17.0,13.0,12847.0,83,132,1360.0,1,0,100.0,0.1103,0.2899,1.0,0.0096,0.7647,1.0,0.5,2.0792,1.1139,1.1139,0.0,-0.1636,0.2914,Bumps
123.0,143.0,874488.0,874545.0,573.0,67.0,62.0,60005.0,90,126,1354.0,1,0,70.0,0.1817,0.4974,0.3509,0.0148,0.2985,0.9194,1.0,2.7582,1.301,1.7559,0.6491,-0.1819,0.9963,Z_Scratch
